game_id,winner,total_moves,game_duration,player1_algorithm,player1_depth,player2_algorithm,player2_depth,timestamp
0,2,30,0.36099982261657715,minimax,3,minimax,3,2025-12-16T01:53:07.687286
1,2,30,26.999211072921753,iterative,7,iterative,7,2025-12-16T01:53:34.686507
2,1,23,2.0097179412841797,minimax_ab,5,iterative,5,2025-12-16T01:53:36.696242
3,2,9,8.07430386543274,iterative,5,iterative,7,2025-12-16T01:53:44.770555
4,1,30,471.5463969707489,minimax,7,minimax,7,2025-12-16T02:01:36.316960
5,2,36,13.653153896331787,minimax_ab,7,minimax_ab,5,2025-12-16T02:01:49.970121
6,2,26,6.426921367645264,minimax_ab,3,minimax,5,2025-12-16T02:01:56.397050
7,2,26,9.72367000579834,minimax_ab,5,minimax_ab,7,2025-12-16T02:02:06.120727
8,2,9,2.8167951107025146,iterative,3,minimax,5,2025-12-16T02:02:08.937530
9,1,18,0.9371509552001953,iterative,5,iterative,3,2025-12-16T02:02:09.874688
10,2,35,186.62086582183838,iterative,5,minimax,7,2025-12-16T02:05:16.495707
11,1,18,1.2117221355438232,iterative,3,iterative,5,2025-12-16T02:05:17.707440
12,1,38,0.2452080249786377,minimax_ab,3,minimax,3,2025-12-16T02:05:17.952655
13,2,33,1.5330009460449219,iterative,5,minimax_ab,3,2025-12-16T02:05:19.485666
14,1,42,10.450557947158813,minimax_ab,7,minimax_ab,3,2025-12-16T02:05:29.936233
15,0,42,1.1778690814971924,minimax_ab,5,iterative,3,2025-12-16T02:05:31.114111
16,2,39,27.05365490913391,minimax_ab,7,minimax_ab,7,2025-12-16T02:05:58.167776
17,1,38,9.313169956207275,minimax_ab,7,iterative,3,2025-12-16T02:06:07.480954
18,1,28,10.648307800292969,minimax_ab,7,minimax,3,2025-12-16T02:06:18.129272
19,1,41,18.56176996231079,iterative,7,minimax_ab,5,2025-12-16T02:06:36.691050
20,1,11,151.8046190738678,minimax,7,minimax_ab,3,2025-12-16T02:09:08.495722
21,1,31,5.620805025100708,minimax,5,minimax_ab,3,2025-12-16T02:09:14.116538
22,1,27,445.72490882873535,minimax,7,minimax_ab,7,2025-12-16T02:16:39.841457
23,1,36,2.7190210819244385,iterative,5,minimax_ab,5,2025-12-16T02:16:42.560501
24,2,9,7.153246164321899,minimax,3,iterative,7,2025-12-16T02:16:49.713755
25,1,24,5.388450622558594,minimax,5,minimax_ab,5,2025-12-16T02:16:55.102215
26,2,34,9.477027893066406,minimax,5,iterative,5,2025-12-16T02:17:04.579254
27,1,37,18.53438425064087,iterative,7,iterative,5,2025-12-16T02:17:23.113645
28,1,24,236.71843791007996,minimax,7,iterative,3,2025-12-16T02:21:19.832105
29,1,33,26.63044834136963,iterative,7,minimax_ab,7,2025-12-16T02:21:46.462562
30,2,28,1.7140851020812988,minimax,3,iterative,5,2025-12-16T02:21:48.179973
31,2,35,198.3964307308197,minimax,5,minimax,7,2025-12-16T02:25:06.576411
32,1,38,17.047460794448853,minimax,5,minimax_ab,7,2025-12-16T02:25:23.623912
33,1,42,1.6622040271759033,iterative,5,minimax,3,2025-12-16T02:25:25.286126
34,1,17,12.275897979736328,minimax_ab,7,iterative,5,2025-12-16T02:25:37.562032
35,1,25,0.15842485427856445,iterative,3,minimax_ab,3,2025-12-16T02:25:37.720465
36,2,23,13.468471050262451,iterative,5,minimax_ab,7,2025-12-16T02:25:51.188943
37,1,14,3.7388558387756348,minimax,5,iterative,3,2025-12-16T02:25:54.927807
38,1,36,164.7515368461609,minimax,7,iterative,5,2025-12-16T02:28:39.679350
39,2,31,17.31448221206665,iterative,7,iterative,3,2025-12-16T02:28:56.993840
40,2,7,0.05246591567993164,minimax,3,minimax_ab,3,2025-12-16T02:28:57.046455
41,2,25,18.270269870758057,minimax_ab,5,iterative,7,2025-12-16T02:29:15.316733
42,2,14,152.84272718429565,minimax_ab,3,minimax,7,2025-12-16T02:31:48.159470
43,1,33,2.6405398845672607,iterative,5,iterative,5,2025-12-16T02:31:50.800020
44,2,31,1.1741020679473877,minimax_ab,3,minimax_ab,5,2025-12-16T02:31:51.974130
45,2,17,233.23893475532532,minimax,7,iterative,7,2025-12-16T02:35:45.213074
46,1,19,7.181106328964233,minimax,5,minimax,3,2025-12-16T02:35:52.394189
47,2,34,1.6505370140075684,minimax_ab,5,minimax,3,2025-12-16T02:35:54.044737
48,2,26,13.42995309829712,minimax_ab,3,minimax_ab,7,2025-12-16T02:36:07.474698
49,1,37,188.55088686943054,minimax,7,minimax,5,2025-12-16T02:39:16.025606
50,1,28,0.1499619483947754,minimax_ab,3,iterative,3,2025-12-16T02:39:16.175599
51,2,22,720.7190668582916,iterative,3,minimax,7,2025-12-16T02:51:16.894675
52,1,30,21.73963713645935,minimax_ab,7,iterative,7,2025-12-16T02:51:38.634321
53,1,38,16.621928215026855,minimax_ab,7,minimax,5,2025-12-16T02:51:55.256261
54,1,27,0.2710237503051758,minimax,3,iterative,3,2025-12-16T02:51:55.527294
55,2,37,206.501127243042,minimax_ab,5,minimax,7,2025-12-16T02:55:22.028430
56,2,19,1.0820181369781494,iterative,3,minimax_ab,5,2025-12-16T02:55:23.110455
57,2,20,5.116403102874756,minimax,3,minimax,5,2025-12-16T02:55:28.226866
58,2,37,13.25148892402649,iterative,3,minimax_ab,7,2025-12-16T02:55:41.478367
59,2,38,22.024925231933594,iterative,7,minimax,5,2025-12-16T02:56:03.503300
60,1,28,2.277520179748535,minimax_ab,5,minimax_ab,5,2025-12-16T02:56:05.780876
61,2,31,244.0105516910553,iterative,7,minimax,7,2025-12-16T03:00:09.791440
62,2,33,8.08580493927002,minimax_ab,5,minimax,5,2025-12-16T03:00:17.877257
63,2,21,12.322750806808472,minimax,3,minimax_ab,7,2025-12-16T03:00:30.200016
64,1,40,18.42765498161316,iterative,7,minimax,3,2025-12-16T03:00:48.627681
65,2,18,0.8254132270812988,minimax,3,minimax_ab,5,2025-12-16T03:00:49.453134
66,2,24,12.816503047943115,minimax_ab,3,iterative,7,2025-12-16T03:01:02.269644
67,2,36,15.903162956237793,iterative,3,iterative,7,2025-12-16T03:01:18.172817
68,1,33,19.594208002090454,minimax,5,iterative,7,2025-12-16T03:01:37.767032
69,1,32,0.9655001163482666,minimax_ab,5,minimax_ab,3,2025-12-16T03:01:38.732549
70,1,32,207.12736892700195,minimax_ab,7,minimax,7,2025-12-16T03:05:05.859947
71,1,33,188.85678696632385,minimax,7,minimax_ab,5,2025-12-16T03:08:14.716744
72,1,23,0.2647538185119629,iterative,3,minimax,3,2025-12-16T03:08:14.981505
73,2,19,0.14225411415100098,iterative,3,iterative,3,2025-12-16T03:08:15.123769
74,2,25,9.537581205368042,minimax,5,minimax,5,2025-12-16T03:08:24.661358
75,2,18,206.1441810131073,minimax,3,minimax,7,2025-12-16T03:11:50.805547
76,1,32,17.34861397743225,iterative,7,minimax_ab,3,2025-12-16T03:12:08.154175
77,1,20,201.8475432395935,minimax,7,minimax,3,2025-12-16T03:15:30.001784
78,2,41,1.5672378540039062,minimax_ab,3,iterative,5,2025-12-16T03:15:31.569067
79,1,35,7.890539169311523,iterative,5,minimax,5,2025-12-16T03:15:39.459615
80,1,29,0.13871407508850098,minimax_ab,3,minimax_ab,3,2025-12-16T03:15:39.598465
